696700,2018-08-05 14:33:50,05,08,04,07,09,03,06,01,02,10
696699,2018-08-05 14:28:56,09,10,06,03,08,04,07,02,01,05
696698,2018-08-05 14:23:52,09,10,06,07,08,02,01,05,03,04
696697,2018-08-05 14:18:51,03,01,08,10,06,04,02,09,07,05
696696,2018-08-05 14:13:16,07,09,04,02,10,03,05,06,08,01
696695,2018-08-05 14:08:36,04,09,07,10,02,01,03,05,08,06
696694,2018-08-05 14:03:39,05,07,03,06,04,01,09,02,08,10
696693,2018-08-05 13:58:58,03,04,10,08,09,02,01,05,07,06
696692,2018-08-05 13:54:39,03,02,06,09,05,01,07,08,10,04
696691,2018-08-05 13:54:39,10,06,08,01,02,07,09,05,03,04
696690,2018-08-05 13:54:39,07,05,01,04,08,10,09,06,03,02
696689,2018-08-05 13:54:39,07,10,04,06,03,08,02,01,05,09
696688,2018-08-05 13:54:39,10,08,06,03,07,05,01,02,04,09
696687,2018-08-05 13:54:39,07,05,10,01,09,06,08,04,02,03
696686,2018-08-05 13:54:39,09,10,01,02,07,05,04,08,03,06
696685,2018-08-05 13:54:39,08,03,01,02,06,05,04,10,09,07
696684,2018-08-05 13:14:08,10,09,06,08,03,02,07,01,04,05
696683,2018-08-05 13:08:15,04,10,03,01,05,02,08,06,09,07
696682,2018-08-05 13:04:03,07,05,09,02,04,06,10,01,08,03
696681,2018-08-05 12:59:23,05,06,03,02,09,01,07,04,10,08
696680,2018-08-05 12:54:22,09,01,07,06,05,03,08,10,04,02
696679,2018-08-05 12:49:41,01,06,09,08,04,10,02,03,05,07
696678,2018-08-05 12:45:58,03,01,07,09,02,04,06,10,08,05
696677,2018-08-05 12:38:29,06,08,04,09,03,02,01,07,05,10
696676,2018-08-05 12:35:37,07,08,01,03,10,06,04,09,05,02
696675,2018-08-05 12:29:22,09,08,02,03,07,04,01,05,10,06
696674,2018-08-05 12:29:22,09,06,05,10,08,02,03,01,04,07
696673,2018-08-05 12:19:54,10,02,04,09,06,07,03,08,05,01
696672,2018-08-05 12:19:54,07,06,01,08,05,02,09,10,04,03
696671,2018-08-05 12:08:48,04,09,08,07,01,02,03,05,10,06
696700,2018-08-05 14:33:50,05,08,04,07,09,03,06,01,02,10
696699,2018-08-05 14:28:56,09,10,06,03,08,04,07,02,01,05
696698,2018-08-05 14:23:52,09,10,06,07,08,02,01,05,03,04
696697,2018-08-05 14:18:51,03,01,08,10,06,04,02,09,07,05
696696,2018-08-05 14:13:16,07,09,04,02,10,03,05,06,08,01
696695,2018-08-05 14:08:36,04,09,07,10,02,01,03,05,08,06
696694,2018-08-05 14:03:39,05,07,03,06,04,01,09,02,08,10
696693,2018-08-05 13:58:58,03,04,10,08,09,02,01,05,07,06
696692,2018-08-05 13:54:39,03,02,06,09,05,01,07,08,10,04
696691,2018-08-05 13:54:39,10,06,08,01,02,07,09,05,03,04
696690,2018-08-05 13:54:39,07,05,01,04,08,10,09,06,03,02
696689,2018-08-05 13:54:39,07,10,04,06,03,08,02,01,05,09
696688,2018-08-05 13:54:39,10,08,06,03,07,05,01,02,04,09
696687,2018-08-05 13:54:39,07,05,10,01,09,06,08,04,02,03
696686,2018-08-05 13:54:39,09,10,01,02,07,05,04,08,03,06
696685,2018-08-05 13:54:39,08,03,01,02,06,05,04,10,09,07
696684,2018-08-05 13:14:08,10,09,06,08,03,02,07,01,04,05
696683,2018-08-05 13:08:15,04,10,03,01,05,02,08,06,09,07
696682,2018-08-05 13:04:03,07,05,09,02,04,06,10,01,08,03
696681,2018-08-05 12:59:23,05,06,03,02,09,01,07,04,10,08
696680,2018-08-05 12:54:22,09,01,07,06,05,03,08,10,04,02
696679,2018-08-05 12:49:41,01,06,09,08,04,10,02,03,05,07
696678,2018-08-05 12:45:58,03,01,07,09,02,04,06,10,08,05
696677,2018-08-05 12:38:29,06,08,04,09,03,02,01,07,05,10
696676,2018-08-05 12:35:37,07,08,01,03,10,06,04,09,05,02
696675,2018-08-05 12:29:22,09,08,02,03,07,04,01,05,10,06
696674,2018-08-05 12:29:22,09,06,05,10,08,02,03,01,04,07
696673,2018-08-05 12:19:54,10,02,04,09,06,07,03,08,05,01
696672,2018-08-05 12:19:54,07,06,01,08,05,02,09,10,04,03
696671,2018-08-05 12:08:48,04,09,08,07,01,02,03,05,10,06
696670,2018-08-05 12:03:23,09,08,01,05,02,03,07,10,06,04
696669,2018-08-05 11:59:05,09,02,10,01,08,06,04,07,05,03
696668,2018-08-05 11:53:47,04,08,02,03,06,09,07,05,01,10
696667,2018-08-05 11:53:47,07,08,10,09,03,06,05,02,04,01
696666,2018-08-05 11:43:23,06,02,05,01,03,10,09,04,08,07
696665,2018-08-05 11:39:58,05,02,07,09,10,03,06,01,04,08
